Date,R Number,Hatchling Number,Carapace Length,Carapace Width,Plastron Length,Carapace Height,Mass
2022-12-13,3,1,66.2,57.8,53.3,30.4,71.4
2022-12-13,3,2,104.2,87.8,91.8,45.3,220.0
2022-12-13,3,3,99.2,85.4,89.6,43.8,205.0
2022-12-13,3,4,94.9,79.0,82.2,41.1,167.0
2022-12-13,6,1,27.4,22.1,23.9,13.1,5.2
2022-12-13,6,2,33.3,27.7,28.8,15.9,9.1
2022-12-13,6,3,29.9,25.6,26.4,13.1,5.3
2022-12-13,6,4,32.4,27.1,27.8,14.1,7.2
2022-12-13,6,5,29.9,25.7,25.2,14.7,6.3
2022-12-13,6,6,35.9,30.4,31.0,17.1,10.4
2022-12-13,6,7,36.4,30.2,31.8,15.7,10.9
2022-12-13,6,8,29.1,24.8,25.9,14.3,6.0
2022-12-13,6,9,28.9,26.1,26.3,13.7,6.2
2022-12-13,6,10,36.4,29.9,30.8,16.7,10.6
2022-12-13,6,11,30.3,26.2,28.7,13.9,7.2
2022-12-13,6,12,32.0,27.4,26.8,14.9,7.5
2022-12-13,6,13,30.6,26.2,27.4,13.9,6.7
2022-12-13,6,14,32.7,26.3,28.2,15.9,8.5
2022-12-13,6,15,29.6,25.0,25.8,14.9,6.2
2022-12-13,6,16,32.9,26.6,27.5,15.7,8.1
2022-12-13,6,17,33.6,28.1,28.8,16.4,9.4
2022-12-13,6,18,30.9,26.2,26.9,15.5,7.3
2022-12-13,6,19,29.4,26.7,26.1,14.3,5.9
2022-12-13,13,1,33.5,27.9,28.9,15.8,8.5
2022-12-13,13,2,34.6,29.9,29.6,17.0,10.0
2022-12-13,13,3,31.5,26.7,27.7,15.0,7.1
2022-12-13,13,4,32.1,27.8,28.2,15.4,7.6
2022-12-13,13,5,33.9,29.8,30.2,16.9,9.4
2022-12-13,13,6,32.5,28.5,28.6,15.4,7.7
2022-12-13,13,7,30.7,26.9,27.3,14.2,6.7
2022-12-13,13,8,30.3,27.4,26.8,14.7,6.6
2022-12-13,13,9,31.6,27.2,27.4,16.2,7.6
2022-12-13,13,10,31.2,27.6,28.1,15.3,7.5
2022-12-13,13,11,30.9,27.2,26.9,15.4,7.0
2022-12-13,14,1,49.7,38.2,41.9,22.0,25.9
2022-12-13,14,2,55.7,46.0,48.9,26.4,38.8
2022-12-14,7,1,30.6,25.2,27.1,14.6,6.9
2022-12-14,7,2,30.5,26.7,27.6,13.3,6.8
2022-12-14,7,3,28.0,25.1,25.4,13.6,5.5
2022-12-14,7,4,27.8,23.4,25.2,12.4,4.9
2022-12-14,7,5,31.5,27.2,28.8,14.1,7.7
2022-12-14,8,1,30.4,27.1,27.4,13.9,6.7
2022-12-14,8,2,34.3,28.5,28.9,15.6,8.8
2022-12-14,8,3,30.5,24.3,26.4,13.9,6.5
2022-12-14,8,4,29.9,26.5,28.4,13.4,6.6
2022-12-14,8,5,30.7,26.0,25.2,14.9,6.1
2022-12-14,9,1,27.6,24.6,24.5,12.7,4.8
2022-12-14,9,2,32.4,28.6,28.5,17.2,8.9
2022-12-14,9,3,30.5,27.4,27.5,13.6,6.6
2022-12-14,9,4,31.0,26.5,27.0,14.9,7.2
2022-12-14,9,5,31.1,26.6,28.1,15.2,7.6
2022-12-14,10,1,32.4,26.5,27.9,15.6,7.6
2022-12-14,10,2,30.9,26.9,27.8,15.6,7.7
2022-12-14,10,3,27.9,24.9,24.5,13.6,5.9
2022-12-14,10,4,28.4,24.7,25.9,13.2,5.5
2022-12-14,10,5,33.2,28.6,29.5,14.7,8.5
2022-12-14,11,1,34.6,27.1,29.5,16.7,10.2
2022-12-14,11,2,27.4,24.3,25.8,12.8,4.7
2022-12-14,11,3,30.9,26.0,27.8,15.7,7.9
2022-12-14,11,4,28.0,23.7,24.6,13.3,5.8
2022-12-14,11,5,27.6,27.0,28.2,15.5,8.3
2022-12-14,12,1,30.2,26.8,26.4,14.2,7.0
2022-12-14,12,2,31.6,26.6,27.3,15.3,7.9
2022-12-14,12,3,27.8,24.3,23.8,12.7,4.8
2022-12-14,12,4,30.1,24.2,25.9,14.5,6.6
2022-12-14,12,5,29.7,26.2,26.4,14.4,6.5
2023-01-17,6,1,39.0,32.3,35.0,16.8,13.5
2023-01-17,6,2,27.3,22.3,23.5,12.7,5.0
2023-01-17,6,3,30.3,25.8,27.7,13.6,6.7
2023-01-17,6,4,38.5,31.6,32.4,17.4,13.1
2023-01-17,6,5,27.7,23.9,24.9,12.4,4.7
2023-01-17,6,6,29.0,25.5,25.4,13.3,5.6
2023-01-17,6,7,36.0,30.7,31.2,16.5,11.4
2023-01-17,6,8,31.4,26.8,26.8,15.1,7.2
2023-01-17,6,9,33.2,26.5,28.2,15.5,7.5
2023-01-17,6,10,33.2,27.8,27.2,15.1,7.7
2023-01-17,6,11,39.6,31.6,33.2,17.9,13.2
2023-01-17,6,12,31.8,25.7,27.5,15.4,7.1
2023-01-17,6,13,37.5,30.6,32.1,18.4,12.0
2023-01-17,6,14,30.5,26.0,26.9,13.4,6.1
2023-01-17,6,15,31.7,26.8,26.9,15.8,7.1
2023-01-17,6,16,36.0,29.1,30.8,17.3,10.6
2023-01-17,6,17,28.2,25.1,25.8,12.9,4.3
2023-01-17,6,19,29.6,26.9,26.1,14.3,6.2
2023-01-17,7,1,33.3,26.7,29.5,15.5,8.5
2023-01-17,7,2,31.5,27.1,28.5,14.3,7.6
2023-01-17,7,3,30.4,26.6,27.3,13.2,6.4
2023-01-17,7,4,29.5,25.9,25.8,14.5,6.3
2023-01-17,7,5,32.4,28.2,27.4,14.0,7.1
2023-01-17,8,1,30.4,25.7,27.7,13.1,6.4
2023-01-17,8,2,35.1,30.1,30.7,15.5,9.6
2023-01-17,8,3,30.1,24.9,25.7,13.2,5.8
2023-01-17,8,4,30.7,25.2,27.8,15.1,7.5
2023-01-17,8,5,32.5,27.5,28.1,14.1,6.8
2023-01-17,9,1,30.9,26.6,28.2,15.0,7.7
2023-01-17,9,2,34.2,29.4,29.9,16.5,10.7
2023-01-17,9,3,29.8,26.5,27.9,13.0,6.6
2023-01-17,9,4,26.6,24.9,23.9,12.6,4.8
2023-01-17,9,5,33.0,28.0,27.7,15.6,7.8
2023-01-17,10,1,33.3,27.1,29.0,15.4,8.9
2023-01-17,10,2,30.6,25.6,25.1,15.0,7.2
2023-01-17,10,3,28.5,24.9,26.0,13.6,5.7
2023-01-17,10,4,32.2,27.3,28.4,15.8,8.4
2023-01-17,10,5,35.1,29.5,30.3,15.1,9.4
2023-01-17,11,1,32.7,26.4,28.4,16.4,8.5
2023-01-17,11,2,27.5,24.0,24.1,12.1,4.5
2023-01-17,11,3,36.9,30.1,31.3,17.6,12.6
2023-01-17,11,4,34.5,31.8,29.4,16.1,10.3
2023-01-17,11,5,30.8,25.9,25.8,15.3,7.5
2023-01-17,12,1,32.4,27.9,27.6,14.2,8.1
2023-01-17,12,2,32.9,27.2,27.9,16.0,8.1
2023-01-17,12,3,34.7,28.7,29.2,16.4,9.7
2023-01-17,12,4,26.0,24.1,23.1,12.4,4.4
2023-01-17,12,5,33.3,28.6,29.6,16.5,9.2
2023-01-17,13,1,31.6,27.1,27.4,14.4,7.9
2023-01-17,13,2,31.0,27.3,28.0,15.1,7.2
2023-01-17,13,3,29.4,26.0,27.6,14.2,6.4
2023-01-17,13,4,33.0,27.3,28.9,16.0,8.4
2023-01-17,13,5,35.5,29.2,30.8,17.1,10.3
2023-01-17,13,6,37.5,31.0,31.6,17.3,11.3
2023-01-17,13,7,30.4,26.9,26.5,14.4,6.5
2023-01-17,13,8,30.6,27.7,27.8,13.9,6.8
2023-01-17,13,9,35.9,30.8,31.1,17.8,10.8
2023-01-17,13,10,29.8,26.5,26.9,13.9,6.1
2023-01-17,14,1,60.6,50.4,54.3,27.5,49.1
2023-01-17,14,2,53.9,41.5,45.8,24.9,32.5
2023-02-07,7,1,30.5,26.9,26.3,15.6,6.2
2023-02-07,7,2,31.0,27.9,27.9,15.4,7.1
2023-02-07,7,3,35.2,28.4,28.4,15.2,9.2
2023-02-07,7,4,33.4,28.3,28.6,17.6,7.9
2023-02-07,7,5,32.3,28.4,27.4,16.2,7.1
2023-02-07,8,1,32.2,26.1,28.3,14.7,7.6
2023-02-07,8,2,37.1,30.1,31.0,15.4,10.2
2023-02-07,8,3,33.2,25.3,28.2,15.8,8.5
2023-02-07,8,4,33.1,27.7,28.5,14.2,7.5
2023-02-07,8,5,30.0,26.1,27.2,13.1,6.7
2023-02-07,9,1,36.3,32.3,27.4,13.3,6.7
2023-02-07,9,2,33.7,33.4,33.5,20.6,8.5
2023-02-07,9,3,40.6,35.2,35.3,21.6,10.8
2023-02-07,9,4,38.3,31.2,33.0,19.5,8.2
2023-02-07,9,5,26.3,24.3,23.7,12.7,4.9
2023-02-07,10,1,24.0,23.8,26.2,13.7,5.5
2023-02-07,10,2,32.6,26.8,29.0,15.7,8.9
2023-02-07,10,3,35.0,31.3,31.6,14.1,7.2
2023-02-07,10,4,35.3,29.0,30.3,14.9,9.1
2023-02-07,10,5,35.4,30.0,29.9,14.9,9.8
2023-02-07,11,1,40.0,32.3,33.1,16.4,14.6
2023-02-07,11,2,34.6,27.6,29.8,18.1,10.1
2023-02-07,11,3,30.9,26.0,27.9,16.5,6.8
2023-02-07,11,4,33.2,27.3,27.7,15.4,9.1
2023-02-07,11,5,37.8,31.8,31.6,19.8,12.2