id,r_num,hatchling_num
1,3,1
2,3,2
3,3,3
4,3,4
5,6,1
6,6,2
7,6,3
8,6,4
9,6,5
10,6,6
11,6,7
12,6,8
13,6,9
14,6,10
15,6,11
16,6,12
17,6,13
18,6,14
19,6,15
20,6,16
21,6,17
22,6,18
23,6,19
24,7,1
25,7,2
26,7,3
27,7,4
28,7,5
29,8,1
30,8,2
31,8,3
32,8,4
33,8,5
34,9,1
35,9,2
36,9,3
37,9,4
38,9,5
39,10,1
40,10,2
41,10,3
42,10,4
43,10,5
44,11,1
45,11,2
46,11,3
47,11,4
48,11,5
49,12,1
50,12,2
51,12,3
52,12,4
53,12,5
54,13,1
55,13,2
56,13,3
57,13,4
58,13,5
59,13,6
60,13,7
61,13,8
62,13,9
63,13,10
64,13,11
65,14,1
66,14,2